Time (s),Position X (px),Position Y (px)












































1.821,0.49,-0.40
1.859,0.39,-0.45
1.907,0.35,-0.54
1.945,-1.10,-0.50
1.992,-1.17,-0.37
2.031,-0.65,-0.25
2.070,0.34,-0.48
2.099,0.53,-0.41
2.154,-1.02,-0.47
2.185,-1.12,-0.47
2.221,-1.13,-0.45
2.270,-0.32,-0.52
2.303,0.46,-0.50
2.341,0.30,-0.58
2.393,-1.16,-0.47
2.434,-1.23,-0.52
2.472,-1.04,-0.52
2.510,0.25,-0.62
2.559,0.38,-0.54
2.596,-0.14,-0.52
2.632,-1.35,-0.52
2.667,-1.09,-0.47
2.716,-0.03,-0.57
2.749,0.37,-0.59
2.789,0.23,-0.60
2.833,-1.06,-0.42
2.871,-1.13,-0.48
2.914,-1.02,-0.48
2.947,0.38,-0.58
3.004,0.43,-0.55
3.042,-0.03,-0.43
3.081,-0.93,-0.32
3.116,-1.16,-0.39
3.160,-0.62,-0.41
3.203,0.43,-0.50
3.227,0.33,-0.50
3.282,-1.09,-0.47
3.326,-1.20,-0.52
3.370,-0.89,-0.45
3.407,0.32,-0.58
3.451,0.40,-0.53
3.520,-1.09,-0.51
3.575,-1.06,-0.49
3.604,-0.54,-0.61
3.642,0.51,-0.46
3.684,0.57,-0.42
3.723,-0.99,-0.48
3.763,-1.16,-0.51
3.806,-0.95,-0.49
3.848,-0.30,-0.60
3.884,0.33,-0.60
3.931,-0.32,-0.49
3.966,-1.06,-0.46
4.015,-1.12,-0.50
4.052,-1.05,-0.52
4.083,0.33,-0.58
4.133,0.41,-0.48
4.170,-0.85,-0.39
4.206,-1.09,-0.37
4.243,-0.48,-0.51
4.287,-0.11,-0.55
4.330,0.35,-0.46
4.367,-0.10,-0.58
4.413,-1.11,-0.49
4.454,-1.12,-0.51
4.530,0.06,-0.50
4.573,0.25,-0.54
4.615,-0.53,-0.57
4.654,-1.03,-0.40
4.690,-1.00,-0.42
4.731,-0.21,-0.51
4.774,0.27,-0.56
4.810,-0.07,-0.57
4.855,-1.02,-0.54
4.893,-1.11,-0.49
4.930,-0.72,-0.56
4.967,0.13,-0.53
5.012,0.25,-0.52
5.054,-0.96,-0.50
5.094,-1.18,-0.57
5.133,-0.93,-0.47
5.180,-0.54,-0.52
5.210,0.15,-0.62
5.250,0.05,-0.55
5.292,-0.58,-0.51
5.341,-1.06,-0.46
5.376,-0.84,-0.44
5.417,-0.39,-0.56
5.458,0.09,-0.57
5.499,-0.69,-0.50
5.546,-1.05,-0.44
5.576,-1.12,-0.49
5.620,-0.51,-0.56
5.664,0.16,-0.57
5.702,-0.15,-0.58
5.742,-0.99,-0.55
5.784,-0.85,-0.44
5.822,-0.77,-0.54
5.862,-0.14,-0.52
5.905,-0.32,-0.61
5.946,-0.18,-0.57
5.988,-1.05,-0.52
6.028,-0.84,-0.53
6.068,-0.24,-0.58
6.104,-0.05,-0.56
6.150,-0.56,-0.65
6.187,-0.89,-0.49
6.227,-0.98,-0.54
6.267,-0.98,-0.54
6.306,-0.38,-0.62
6.352,-0.55,-0.69
6.391,-0.61,-0.59
