Time (s),Position X (px),Position Y (px)
3.512,-1.30,1.79
3.565,-1.28,1.70
3.608,-1.13,1.45
3.639,-1.08,1.37
3.681,-1.26,1.64
3.739,-1.42,1.86
3.762,-1.22,1.60
3.806,-0.97,1.26
3.853,-0.94,1.18
3.877,-1.14,1.48
3.939,-1.33,1.48
3.961,-1.49,1.62
4.010,-1.20,1.51
4.042,-1.16,1.40
4.080,-1.05,1.31
4.123,-1.23,1.49
4.163,-1.31,1.60
4.206,-1.11,1.63
4.253,-0.94,1.40
4.283,-1.00,1.44
4.333,-1.26,1.55
4.374,-1.53,1.67
4.410,-1.49,1.69
4.460,-1.29,1.51
4.490,-1.14,1.39
4.540,-1.15,1.36
4.608,-1.19,1.60
4.654,-1.21,1.55
4.684,-1.04,1.31
4.739,-1.14,1.32
4.763,-1.32,1.49
4.819,-1.36,1.84
4.845,-1.28,1.70
4.901,-1.11,1.48
4.939,-0.93,1.40
4.975,-1.19,1.45
5.013,-1.27,1.54
5.055,-1.33,1.64
5.099,-1.07,1.66
5.132,-1.11,1.48
5.172,-1.23,1.47
5.215,-1.41,1.59
5.257,-1.30,1.73
5.297,-1.20,1.66
5.337,-1.03,1.45
5.375,-0.87,1.27
5.416,-1.20,1.34
5.458,-1.45,1.62
5.497,-1.33,1.61
5.539,-1.20,1.67
5.587,-1.28,1.54
5.618,-1.37,1.54
5.666,-1.36,1.58
5.713,-1.21,1.72
5.787,-0.98,1.38
5.830,-1.11,1.33
5.862,-1.17,1.51
5.916,-1.21,1.76
5.950,-1.16,1.73
5.979,-1.19,1.60
6.033,-1.34,1.42
6.066,-1.38,1.34
6.120,-1.09,1.59
6.146,-1.02,1.78
6.208,-1.01,1.54
6.232,-1.05,1.45
6.269,-1.26,1.40
6.312,-1.40,1.57
6.355,-1.23,1.79
6.396,-1.17,1.77
6.431,-1.10,1.52
6.486,-1.18,1.37
6.518,-1.21,1.38
6.566,-1.12,1.50
6.589,-1.07,1.68
6.652,-1.10,1.76
6.677,-1.26,1.54
6.762,-1.39,1.63
6.791,-1.18,1.56
6.842,-0.95,1.61
6.881,-0.98,1.47
6.961,-1.29,1.52
6.997,-1.13,1.72
7.032,-1.03,1.78
7.073,-1.07,1.85
7.126,-1.20,1.67
7.204,-1.08,1.75
7.238,-1.02,1.61
7.299,-0.98,1.65
7.362,-0.91,1.57
7.400,-1.18,1.63
7.453,-1.21,1.77
7.523,-1.17,1.77
7.562,-1.17,1.42
7.600,-1.05,1.38
7.648,-1.08,1.47
7.685,-1.05,1.75
7.732,-1.08,1.75
7.773,-1.31,1.73
7.851,-1.04,1.63
7.888,-1.11,1.79
7.945,-1.13,1.70
7.974,-1.10,1.62
8.003,-1.14,1.49
8.051,-1.12,1.60
8.097,-1.03,1.74
8.139,-1.18,1.76
8.190,-1.32,1.72
8.212,-1.40,1.62
8.291,-0.98,1.66
8.330,-1.02,1.62
8.386,-1.24,1.59
8.409,-1.23,1.45
8.459,-1.25,1.51
8.558,-1.23,1.73
8.590,-1.21,1.74
8.622,-1.26,1.76
8.690,-1.13,1.62
8.737,-1.14,1.63
8.791,-1.11,1.88
8.819,-1.23,1.79
8.853,-1.27,1.84
8.900,-1.33,1.59
8.935,-1.12,1.55
8.979,-1.00,1.58
9.028,-1.14,1.77
9.057,-1.23,1.76
9.109,-1.21,1.59
9.142,-1.05,1.51
9.186,-1.13,1.59
9.222,-1.26,1.75
9.281,-1.24,1.81
9.339,-1.02,1.61
9.377,-1.02,1.70
9.431,-1.10,1.89
9.462,-1.18,1.83
9.504,-1.27,1.81
9.551,-1.11,1.78
9.587,-1.03,1.66
9.642,-1.13,1.66
9.664,-1.11,1.84
9.712,-1.21,1.70
9.747,-1.18,1.68
9.811,-1.28,1.68
9.838,-1.20,1.71
9.863,-1.21,1.75
9.923,-1.17,1.84
9.945,-1.21,1.71
9.996,-1.20,1.71
10.036,-1.08,1.72
10.076,-1.15,1.74
10.109,-1.29,1.83
10.164,-1.15,1.91
10.246,-1.07,1.54
10.314,-1.14,1.59
10.355,-1.13,1.59
10.408,-1.17,1.69
10.437,-1.19,1.81
10.494,-1.07,1.81
10.528,-1.34,1.66
10.606,-1.07,1.71
10.641,-1.05,1.60
10.679,-1.01,1.67
10.735,-1.03,1.84
10.804,-1.42,1.76
10.840,-1.08,1.69
10.889,-0.90,1.67
10.921,-0.88,1.69
10.979,-1.21,1.72
11.003,-1.23,1.69
11.068,-1.13,1.67
11.125,-1.17,1.68
11.174,-1.28,1.67
11.201,-1.22,1.83
11.250,-1.07,1.87
11.287,-1.16,1.92
11.327,-1.01,1.82
11.365,-1.06,1.80
11.405,-1.08,1.80
11.467,-1.14,1.80
11.534,-1.09,1.88
11.604,-1.06,1.76
11.651,-1.15,1.84
11.687,-1.11,1.75
11.744,-1.07,1.95
11.769,-1.35,1.83
11.810,-1.33,1.73
11.860,-1.15,1.75
11.894,-1.05,1.73
11.932,-1.22,1.73
11.967,-1.23,1.75
12.030,-1.29,1.74
12.052,-1.21,1.83
12.102,-1.23,1.87
12.144,-1.08,1.91
12.180,-1.10,1.78
12.225,-1.14,1.64
12.263,-1.35,1.69
12.310,-1.24,1.65
12.345,-1.26,1.68
12.392,-1.14,1.80
12.432,-1.19,1.73
12.495,-1.30,1.72
12.540,-1.27,1.87
12.580,-1.12,1.81
12.629,-1.12,1.81
12.658,-1.16,1.83
12.714,-1.12,1.89
12.744,-1.13,1.89
12.789,-1.15,1.84
12.821,-0.99,1.86
12.873,-1.15,1.78
12.906,-1.17,1.91
12.957,-1.06,2.12
12.988,-1.12,2.14
13.040,-1.19,1.95
13.106,-1.27,1.85
13.154,-1.27,1.96
13.239,-0.90,2.16
13.272,-0.96,2.20
13.315,-1.14,2.07
13.349,-1.33,2.15
13.401,-1.16,2.35
13.432,-1.04,2.28
13.486,-1.02,2.32
13.521,-1.03,2.26
13.547,-1.13,2.36
13.603,-1.30,2.36
13.634,-1.15,2.41
13.673,-1.17,2.48
13.716,-1.08,2.47
13.756,-1.14,2.44
13.799,-1.10,2.45
13.835,-1.03,2.45
13.886,-1.03,2.56
13.958,-1.06,2.42
13.994,-1.20,2.49
14.034,-1.07,2.32
14.086,-1.02,2.23
14.113,-0.95,2.39
14.157,-1.01,2.45
14.202,-1.23,2.38
14.244,-1.19,2.38
14.278,-1.11,2.41
14.328,-1.15,2.24
14.368,-1.24,2.39
14.451,-1.09,2.55
14.544,-1.07,2.53
14.603,-1.29,2.47
14.642,-1.18,2.42
14.679,-0.93,2.38
14.740,-1.14,2.29
14.768,-1.14,2.44
14.806,-1.20,2.48
14.854,-1.16,2.19
14.889,-1.18,2.46
14.923,-1.13,2.49
14.970,-1.24,2.55
15.022,-1.14,2.50
15.056,-1.15,2.35
15.091,-1.07,2.29
15.149,-1.11,2.34
15.176,-1.29,2.24
15.227,-1.29,2.24
15.287,-1.17,2.12
15.329,-1.09,2.28
15.385,-1.09,2.14
15.408,-1.17,2.37
15.468,-1.15,2.41
15.504,-1.23,2.42
15.536,-1.14,2.34
15.628,-1.24,2.57
15.663,-1.22,2.29
15.706,-1.11,2.50
15.743,-1.01,2.53
15.780,-1.08,2.49
15.816,-1.24,2.60
15.861,-1.07,2.57
15.898,-0.97,2.31
15.935,-1.11,2.43
15.995,-1.20,2.27
16.028,-1.20,2.32
16.113,-1.10,2.55
16.147,-1.21,2.42
16.188,-1.18,2.49
16.227,-1.17,2.39
16.264,-1.02,2.55
16.309,-1.15,2.41
16.351,-1.13,2.59
16.393,-1.11,2.46
16.427,-1.01,2.46
16.473,-1.10,2.45
16.514,-1.04,2.61
16.586,-0.91,2.41
16.625,-1.06,2.42
16.671,-1.16,2.35
16.708,-1.23,2.41
16.747,-1.09,2.56
16.782,-0.97,2.43
16.830,-1.03,2.60
16.870,-1.08,2.44
16.914,-1.20,2.47
16.948,-1.22,2.47
16.988,-1.16,2.69
17.029,-1.21,2.65
17.082,-1.09,2.60
17.112,-1.16,2.64
17.157,-1.09,2.43
17.194,-1.07,2.44
17.241,-1.14,2.63
17.281,-1.12,2.64
17.321,-1.14,2.28
17.354,-1.08,2.45
17.387,-1.17,2.66
17.437,-1.13,2.44
17.475,-1.12,2.57
17.532,-1.16,2.58
17.560,-1.09,2.57
17.590,-1.26,2.59
17.637,-1.21,2.67
17.676,-1.36,2.56
17.733,-1.21,2.54
17.763,-1.09,2.51
17.807,-1.06,2.39
17.845,-1.29,2.33
17.892,-1.33,2.33
17.938,-1.23,2.34
17.966,-1.28,2.41
18.021,-1.31,2.34
18.050,-1.32,2.16
18.100,-1.30,2.22
18.134,-1.10,2.36
18.183,-1.11,2.38
18.212,-0.72,2.83
18.245,-0.69,3.07
18.287,-0.72,2.87
18.334,-0.88,2.38
18.416,-1.41,2.99
18.453,-1.79,3.40
18.494,-2.41,4.02
18.564,-1.93,3.56
18.607,-1.12,3.16
18.641,-0.64,2.85
18.708,-0.74,2.86
18.739,-0.87,2.77
18.779,-1.15,2.82
18.813,-1.89,2.63
18.865,-2.23,2.90
18.897,-1.83,3.21
18.953,-1.31,3.21
18.969,-0.91,2.99
19.009,-0.81,2.75
19.059,-0.83,2.66
19.113,-0.97,2.98
19.202,-1.68,3.34
19.233,-1.67,3.19
19.257,-1.60,3.01
19.304,-1.56,2.85
19.348,-1.51,2.92
19.392,-1.39,3.06
19.420,-1.47,3.10
19.468,-1.40,3.17
19.524,-1.24,3.16
19.586,-1.08,3.04
19.617,-1.10,3.00
19.671,-1.29,2.74
19.703,-1.58,2.90
19.758,-1.73,3.25
19.782,-1.56,3.54
19.826,-1.50,3.47
19.877,-1.37,3.27
19.899,-1.31,2.92
19.964,-1.26,3.09
19.985,-1.29,3.14
20.038,-1.41,3.41
20.079,-1.53,3.30
20.094,-1.69,3.34
20.131,-1.38,3.17
