Time (s),Position X (px),Position Y (px)
0.046,0.00,0.00
0.092,-0.05,-0.38
0.173,1.63,1.91
0.235,1.21,1.96
0.256,0.05,0.72
0.320,-0.14,0.47
0.367,0.95,1.92
0.404,1.13,2.43
0.448,-0.12,1.43
0.501,-1.13,0.45
0.523,-1.05,0.40
0.568,0.52,1.35
0.656,0.40,2.14
0.696,-1.12,0.55
0.741,-1.19,0.23
0.770,-0.36,0.77
0.813,0.89,2.01
0.858,0.60,2.30
0.887,-0.91,1.61
0.929,-1.44,0.68
0.973,-0.82,0.63
1.008,0.57,1.78
1.068,0.61,2.08
1.101,-0.49,1.73
1.135,-0.99,1.00
1.180,-0.87,0.69
1.206,0.37,1.11
1.249,0.55,1.85
1.295,-0.24,2.17
1.328,-1.29,1.35
1.382,-1.21,0.78
1.418,-0.04,0.84
1.498,0.07,1.88
1.529,-0.97,1.81
1.581,-1.34,0.98
1.622,-0.74,0.76
1.666,0.48,1.39
1.745,-0.73,2.04
1.778,-1.41,1.56
1.813,-1.19,1.08
1.860,-0.20,1.12
1.900,0.19,1.58
1.938,-0.50,2.05
1.988,-1.30,1.79
2.015,-1.04,1.21
2.082,-0.55,1.17
2.140,-0.43,1.83
2.196,-1.19,1.97
2.247,-1.47,1.43
2.305,0.09,1.26
2.344,0.16,1.66
2.377,-0.83,2.20
2.447,-1.36,1.73
2.464,-1.04,1.28
2.520,0.11,1.24
2.547,0.14,1.57
2.595,-0.63,2.04
2.631,-1.16,2.04
2.718,-0.86,1.37
2.751,-0.03,1.58
2.791,-0.47,1.72
2.823,-1.18,1.75
2.881,-1.29,1.62
2.914,-0.89,1.33
2.953,-0.05,1.46
2.987,-0.20,1.54
3.033,-1.08,1.92
3.079,-1.43,1.92
3.102,-1.42,1.72
3.157,-1.05,1.60
3.200,-0.91,1.53
3.231,-1.04,1.67
3.273,-1.33,1.73
3.314,-1.41,1.65
3.351,-1.03,1.26
3.392,-1.01,1.23
3.431,-1.15,1.44
3.482,-1.25,1.66
