Time (s),Position X (px),Position Y (px)
11.998,6.03,-0.34
12.065,4.58,-0.15
12.112,4.37,-0.16
12.179,3.96,-0.27
12.232,2.59,-0.16
12.278,2.58,-0.27
12.331,3.96,-0.32
12.363,3.93,-0.31
12.407,3.59,-0.30
12.465,2.62,-0.32
12.498,3.04,-0.42
12.531,3.92,-0.31
12.568,4.17,-0.24
12.630,4.07,-0.29
12.666,3.65,-0.21
12.705,3.03,-0.14
12.762,3.74,-0.13
12.806,3.92,-0.20
12.841,4.05,-0.29
12.900,3.12,-0.29
12.936,3.23,-0.23
13.002,3.86,-0.22
13.066,3.02,-0.29
13.139,2.26,-0.24
13.186,2.94,-0.29
13.215,3.10,-0.31
13.276,3.07,-0.29
13.338,2.56,0.00
13.405,2.61,0.13
13.438,3.01,-0.08
13.505,2.99,-0.12
13.541,2.87,-0.17
13.605,2.59,-0.06
13.668,2.96,0.08
13.703,3.02,0.16
13.772,3.28,0.41
13.811,3.18,0.50
13.870,4.02,0.90
13.900,4.11,1.27
13.967,3.91,1.48
14.036,3.35,1.60
14.111,2.96,1.61
14.180,2.96,1.66
14.231,3.86,1.00
14.277,3.64,0.81
14.306,3.67,0.59
14.372,3.35,0.33
14.411,3.10,0.08
14.443,3.00,-0.01
14.507,2.72,-0.11
14.545,2.50,-0.13
14.571,2.64,-0.10
14.637,2.44,-0.08
14.672,2.83,-0.18
14.706,2.99,-0.18
14.747,2.98,-0.17
14.777,2.94,-0.19
14.842,2.99,-0.41
14.877,3.00,-0.57
14.944,3.03,-0.72
14.973,3.43,-1.02
15.020,2.92,-1.21
15.073,2.82,-1.39
15.111,2.80,-1.67
15.179,2.65,-1.45
15.246,3.20,-1.57
15.316,3.30,-1.24
15.374,3.22,-0.77
15.443,3.48,-0.95
15.508,3.28,-1.38
15.547,3.28,-1.29
15.581,2.92,-0.62
15.653,2.52,-0.20
15.706,2.46,-0.23
15.747,2.33,-0.21
15.783,2.42,-0.31
15.842,3.04,-0.29
15.882,2.92,-0.06
15.948,2.76,-0.16
15.983,2.57,-0.05
16.023,2.40,-0.11
16.077,2.83,-0.35
16.113,2.62,-0.52
16.179,2.96,-0.67
16.215,3.05,-0.61
16.282,2.98,-0.25
16.314,3.00,-0.11
16.357,2.84,0.02
16.390,3.35,0.28
16.449,4.04,0.26
16.513,4.17,0.33
16.548,3.79,0.31
16.583,3.61,0.35
16.647,3.18,0.52
16.712,3.35,0.58
16.745,3.42,0.56
16.785,3.62,0.50
16.820,3.26,0.38
16.856,2.89,0.04
16.912,3.39,-0.33
16.982,3.87,-0.79
17.043,3.12,-0.64
17.085,3.13,-0.67
17.119,3.04,-0.50
17.156,2.91,-0.53
17.222,2.75,-0.53
17.284,3.10,-0.92
17.316,3.24,-1.32
17.352,3.18,-1.46
17.412,3.34,-1.38
17.445,3.25,-1.52
17.485,3.19,-1.54
17.517,3.18,-1.48
17.551,3.24,-1.50
17.625,3.24,-1.45
17.659,3.34,-1.36
17.692,3.17,-1.35
17.752,3.26,-1.20
17.780,3.43,-1.18
17.820,3.62,-1.16
17.852,3.62,-1.35
17.919,3.24,-1.38
17.955,3.24,-1.39
17.994,3.19,-1.42
18.058,3.66,-1.36
18.094,3.29,-1.40
18.149,3.58,-1.03
18.193,3.53,-1.00
18.225,3.54,-0.97
18.285,2.66,-0.46
18.314,2.90,-0.50
18.352,2.48,-0.43
18.429,2.56,-0.40
18.461,3.06,-0.53
18.520,3.12,-0.33
18.550,2.99,-0.18
18.622,2.88,0.11
