Time (s),Position X (px),Position Y (px)
0.019,0.00,0.00
0.081,2.00,0.27
0.153,4.56,0.35
0.221,4.52,0.32
0.295,5.47,0.14
0.363,5.40,-0.12
0.430,4.97,-0.04
0.509,2.51,0.64
0.567,1.11,1.76
0.640,1.69,2.17
0.710,1.08,2.18
0.776,1.94,2.14
0.848,1.05,2.15
0.926,0.97,2.15
1.007,2.22,2.21
1.075,0.65,2.28
1.149,0.87,2.32
1.223,1.20,2.29
1.278,1.29,2.31
1.354,0.93,2.32
1.426,0.90,2.35
1.505,1.48,2.30
1.587,0.32,2.39
1.645,0.77,2.41
1.717,0.96,2.34
1.787,1.11,2.32
1.850,0.91,2.34
1.926,1.15,2.28
1.987,1.20,2.30
2.068,0.80,2.28
2.134,1.31,2.26
2.216,1.27,2.19
2.292,1.11,2.22
2.360,1.14,2.20
2.416,1.28,2.18
2.494,1.33,2.16
2.560,1.09,2.19
2.634,1.37,2.20
2.700,1.41,2.18
2.766,1.37,2.13
2.841,1.33,1.94
2.936,1.24,1.83
2.983,1.27,1.84
3.047,1.27,1.89
3.126,1.48,1.88
3.198,1.16,1.76
3.274,1.43,1.73
3.337,1.42,1.49
3.401,1.44,1.49
3.475,1.30,1.54
3.545,1.31,1.47
3.612,1.23,1.41
3.684,1.31,1.36
3.755,1.27,1.30
3.825,1.30,1.32
3.901,1.32,1.41
3.980,1.19,1.53
4.043,1.26,1.59
4.106,1.17,1.52
4.185,1.23,1.45
4.256,1.28,1.54
4.333,1.23,1.58
4.413,1.18,1.59
4.495,1.18,1.70
4.558,1.30,1.89
4.627,1.16,1.90
4.693,1.25,1.90
4.756,1.29,1.79
4.832,1.07,1.75
4.889,1.33,1.84
4.965,1.25,1.89
5.033,1.05,1.97
5.094,1.09,2.01
5.160,1.19,2.00
5.237,1.22,1.89
5.305,1.16,1.90
5.385,1.11,1.83
5.451,1.23,1.79
5.523,1.12,1.71
5.601,1.23,1.66
5.667,1.19,1.63
5.735,1.06,1.57
5.815,1.15,1.59
5.875,1.14,1.56
5.947,1.15,1.44
6.015,1.14,1.44
6.086,1.12,1.43
6.167,1.09,1.43
6.225,0.89,1.41
6.299,0.90,1.41
6.380,0.98,1.43
6.434,0.94,1.48
6.515,0.95,1.53
6.591,1.05,1.58
6.651,1.09,1.62
6.725,1.16,1.61
6.796,1.05,1.61
6.867,0.89,1.54
6.932,0.95,1.58
7.007,1.07,1.61
7.063,1.23,1.60
7.157,1.08,1.51
7.232,1.25,1.49
7.288,1.21,1.47
7.358,1.24,1.47
7.438,1.11,1.49
7.520,1.26,1.50
7.577,1.14,1.54
7.648,1.11,1.45
7.718,1.02,1.50
7.782,1.17,1.43
7.850,1.12,1.45
7.916,1.12,1.50
8.002,1.21,1.48
8.058,1.13,1.47
8.119,1.23,1.32
8.205,1.29,1.38
8.269,1.35,1.35
8.332,1.17,1.40
8.410,1.23,1.34
8.481,1.22,1.39
8.549,1.26,1.35
8.633,1.19,1.38
8.686,1.22,1.37
8.763,1.28,1.33
8.843,1.19,1.33
8.926,1.37,1.27
8.976,1.19,1.31
9.050,1.18,1.34
9.122,1.25,1.36
9.187,1.20,1.39
9.258,1.12,1.41
9.337,1.03,1.45
9.399,1.04,1.42
9.468,1.15,1.47
9.537,1.26,1.53
9.618,1.15,1.59
9.682,1.30,1.72
9.736,1.20,1.61
9.820,1.11,1.63
9.898,1.13,1.65
9.964,1.22,1.60
10.030,1.13,1.68
10.103,1.21,1.78
10.180,1.20,1.80
10.244,1.24,1.81
10.313,1.18,1.73
10.395,1.15,1.72
10.452,1.21,1.74
