Time (s),Position X (px),Position Y (px)
10.526,1.18,1.87
10.599,1.31,1.80
10.675,1.22,1.87
10.742,1.23,1.83
10.813,1.32,1.79
10.892,1.15,1.83
10.955,1.14,1.72
11.013,1.16,1.70
11.093,1.13,1.78
11.161,1.12,1.83
11.239,1.05,1.76
11.302,1.10,1.75
11.369,1.16,1.76
11.438,1.11,1.78
11.519,1.04,1.56
11.580,1.01,1.49
11.651,1.02,1.61
11.716,0.94,1.48
11.810,1.03,1.47
11.868,0.86,1.41
11.932,0.87,1.49
12.000,0.94,1.50
12.075,1.07,1.49
12.122,1.01,1.47
12.199,0.98,1.45
12.269,0.85,1.39
12.348,1.09,1.36
12.420,1.24,1.36
12.493,1.14,1.38
12.562,1.01,1.39
12.628,1.01,1.46
12.708,1.14,1.47
12.768,1.16,1.38
12.842,1.21,1.34
12.910,1.15,1.37
12.980,1.20,1.30
13.054,1.14,1.34
13.127,1.26,1.24
13.208,1.35,1.28
13.272,1.26,1.28
13.338,1.22,1.32
13.410,1.24,1.31
13.485,1.39,1.32
13.553,1.32,1.24
13.654,1.42,1.27
13.695,1.27,1.30
13.769,1.30,1.23
13.848,1.34,1.27
13.914,1.31,1.28
13.970,1.24,1.23
14.050,1.24,1.23
14.120,1.35,1.21
14.192,1.39,1.22
14.265,1.27,1.23
14.335,1.19,1.24
14.403,1.17,1.25
14.473,1.24,1.28
14.543,1.24,1.30
14.602,1.12,1.30
14.678,1.15,1.28
14.755,1.03,1.31
14.813,1.15,1.38
14.893,1.14,1.39
14.965,1.06,1.43
15.030,1.03,1.44
15.103,1.10,1.46
15.173,1.01,1.48
15.239,1.10,1.49
15.306,0.93,1.47
15.386,1.02,1.51
15.452,1.11,1.45
15.520,1.15,1.54
15.592,1.29,1.59
15.668,1.18,1.60
15.736,1.16,1.47
15.797,0.98,1.52
15.869,1.13,1.57
15.948,1.15,1.59
16.013,1.12,1.56
16.083,1.01,1.59
16.166,0.97,1.52
16.236,0.97,1.53
16.282,1.02,1.51
16.367,0.95,1.58
16.445,0.74,1.48
16.515,1.01,1.52
16.580,1.03,1.58
16.648,1.03,1.50
16.727,1.04,1.49
16.793,1.03,1.54
16.862,1.05,1.47
16.932,0.91,1.50
17.004,0.83,1.47
17.075,0.93,1.45
17.154,1.00,1.43
17.220,1.06,1.43
17.289,1.09,1.35
17.357,1.32,1.34
17.434,1.19,1.29
17.500,1.10,1.34
17.569,1.18,1.33
17.636,1.15,1.35
17.700,1.18,1.34
17.774,1.09,1.29
17.850,1.07,1.31
17.917,1.15,1.32
17.997,1.12,1.31
18.054,1.20,1.27
18.131,1.11,1.34
18.199,1.23,1.29
18.268,1.26,1.26
18.346,1.21,1.23
18.415,1.17,1.25
18.494,1.20,1.27
18.550,1.13,1.26
18.626,1.16,1.27
18.677,1.21,1.24
18.762,1.28,1.24
18.839,1.25,1.23
18.904,1.15,1.25
18.969,1.31,1.21
19.039,1.24,1.26
19.129,1.32,1.22
19.182,1.39,1.23
19.255,1.22,1.23
19.324,1.20,1.24
19.403,1.29,1.29
19.461,1.27,1.30
19.537,1.16,1.34
19.617,1.32,1.28
19.684,1.36,1.28
19.748,1.29,1.29
19.820,1.19,1.36
19.898,1.17,1.49
19.965,1.19,1.51
20.029,1.33,1.41
20.100,1.28,1.34
20.174,1.27,1.40
20.229,1.24,1.40
20.309,1.08,1.49
20.381,1.01,1.46
20.460,1.00,1.51
20.525,1.03,1.52
20.581,1.12,1.58
20.665,1.06,1.47
20.734,1.00,1.51
20.804,0.97,1.49
20.872,1.17,1.50
20.942,1.10,1.46
21.010,1.13,1.51
21.074,1.10,1.49
21.140,1.02,1.52
21.208,1.08,1.55
21.275,0.98,1.44
21.354,0.97,1.47
21.421,1.09,1.54
21.487,0.95,1.53
21.563,0.98,1.42
21.657,1.03,1.46
21.720,1.03,1.48
21.786,0.99,1.47
21.857,0.97,1.48
21.932,1.08,1.47
21.998,1.06,1.44
22.062,1.05,1.42
22.148,1.06,1.46
22.207,1.06,1.47
22.281,0.97,1.49
22.357,0.96,1.42
22.426,0.92,1.42
22.496,1.00,1.35
22.550,1.12,1.33
22.630,1.19,1.45
22.712,1.11,1.44
22.784,0.98,1.39
22.853,1.22,1.37
22.909,1.17,1.35
22.991,1.11,1.35
23.050,1.10,1.32
23.128,1.19,1.30
23.201,1.20,1.25
23.270,1.22,1.28
23.340,1.32,1.29
23.400,1.19,1.30
23.474,1.08,1.27
23.554,1.18,1.29
23.634,1.18,1.28
23.695,1.22,1.24
23.767,1.29,1.29
23.832,1.25,1.27
23.911,1.19,1.28
23.980,1.26,1.23
24.048,1.24,1.25
24.116,1.27,1.29
24.192,1.24,1.32
24.261,1.18,1.27
24.328,1.10,1.26
24.399,1.20,1.29
24.472,1.19,1.34
24.539,1.14,1.37
24.613,1.08,1.37
24.663,0.95,1.37
24.746,0.83,1.41
24.826,0.95,1.40
24.887,1.04,1.39
24.959,0.96,1.40
25.030,1.04,1.37
25.106,1.17,1.33
25.174,1.01,1.42
25.243,1.01,1.48
25.319,0.89,1.45
25.385,0.86,1.45
25.447,0.91,1.45
25.524,1.03,1.49
25.606,1.07,1.47
25.656,0.83,1.46
25.737,0.96,1.52
25.816,0.98,1.44
25.872,0.94,1.50
25.949,1.02,1.46
26.017,1.15,1.42
26.090,1.13,1.41
26.162,0.98,1.45
26.232,1.06,1.46
26.290,1.03,1.45
26.364,1.05,1.48
26.444,0.95,1.51
26.509,0.94,1.51
26.579,0.97,1.43
26.652,1.06,1.47
26.729,1.03,1.50
26.798,0.86,1.49
26.866,0.94,1.46
26.932,1.00,1.48
27.008,0.86,1.41
27.075,1.11,1.42
27.143,1.06,1.44
27.216,1.10,1.48
27.287,0.97,1.42
27.357,0.87,1.42
27.415,1.03,1.40
27.489,1.07,1.40
27.570,1.03,1.34
27.637,0.92,1.29
27.703,0.98,1.37
27.780,0.95,1.33
27.851,1.16,1.35
27.920,1.06,1.35
28.000,1.16,1.31
28.066,1.10,1.37
28.134,1.07,1.34
28.200,1.36,1.26
28.271,1.12,1.34
28.345,1.15,1.31
28.415,1.01,1.31
28.492,1.28,1.26
28.558,1.24,1.27
28.622,1.21,1.26
28.695,1.21,1.22
28.763,1.13,1.25
28.836,1.29,1.24
28.908,1.17,1.32
28.978,1.12,1.34
29.044,0.98,1.38
29.122,1.21,1.28
29.178,1.06,1.34
29.257,1.19,1.34
29.334,1.09,1.41
29.401,0.86,1.36
29.472,0.85,1.40
29.538,0.95,1.40
29.609,1.00,1.40
29.683,1.00,1.40
29.750,1.02,1.39
29.818,1.18,1.33
29.883,1.03,1.31
29.954,1.21,1.35
30.033,1.30,1.37
30.100,1.08,1.40
30.180,1.08,1.43
30.247,1.05,1.46
30.314,0.85,1.48
30.386,0.95,1.53
30.464,0.92,1.51
30.520,1.12,1.45
30.597,0.95,1.41
30.679,0.99,1.48
30.730,0.98,1.43
30.806,1.03,1.43
30.877,0.79,1.45
30.960,1.02,1.44
31.020,0.95,1.37
31.090,0.83,1.40
31.161,0.91,1.40
31.240,1.00,1.44
31.295,1.04,1.42
31.372,0.97,1.46
31.442,0.97,1.43
31.509,1.10,1.34
31.588,0.99,1.32
31.645,1.04,1.41
31.725,0.93,1.36
31.791,1.00,1.39
31.865,0.96,1.36
31.934,1.00,1.33
32.015,1.04,1.32
32.077,1.27,1.28
32.136,1.14,1.30
32.216,0.94,1.29
32.296,1.07,1.31
32.356,1.30,1.28
32.429,1.18,1.28
32.499,1.35,1.24
32.567,1.27,1.28
32.641,1.34,1.29
32.711,1.26,1.25
32.778,1.33,1.26
32.857,1.32,1.24
32.923,1.32,1.26
32.989,1.26,1.28
33.057,1.23,1.30
33.153,1.19,1.34
33.208,1.16,1.29
33.281,1.06,1.36
33.360,1.12,1.36
33.420,1.30,1.36
33.487,1.25,1.41
33.545,1.26,1.41
33.620,1.14,1.33
33.703,1.12,1.44
33.772,1.00,1.43
33.841,1.04,1.46
33.902,1.00,1.47
33.984,0.80,1.47
34.050,0.92,1.43
34.117,0.93,1.39
34.203,1.03,1.39
34.254,1.27,1.41
34.330,1.11,1.37
34.397,1.03,1.42
34.463,0.99,1.46
34.546,1.09,1.45
34.611,1.09,1.46
34.679,1.13,1.46
34.750,1.26,1.50
34.825,1.15,1.39
34.895,1.11,1.41
34.975,1.10,1.45
35.048,1.37,1.51
35.099,1.26,1.45
35.174,0.99,1.42
35.257,0.92,1.45
35.324,0.81,1.43
35.386,0.91,1.38
35.454,1.04,1.43
35.523,1.19,1.33
35.602,0.98,1.43
35.667,1.07,1.32
35.736,0.91,1.33
35.804,0.92,1.37
35.877,0.99,1.39
35.948,1.04,1.40
36.020,1.13,1.38
36.098,0.94,1.38
36.163,1.14,1.32
36.230,1.12,1.22
36.304,1.18,1.30
36.379,1.12,1.27
36.444,0.97,1.35
36.515,1.00,1.27
36.587,1.18,1.31
36.651,1.18,1.27
36.722,1.24,1.27
36.792,1.46,1.32
36.863,1.38,1.23
36.931,1.19,1.24
37.009,1.21,1.23
37.075,1.39,1.22
37.144,1.37,1.24
37.222,1.17,1.31
37.287,1.31,1.25
37.357,1.15,1.28
37.433,1.14,1.20
37.493,1.08,1.26
37.572,1.00,1.27
37.642,1.30,1.25
37.720,1.25,1.22
37.785,1.06,1.28
37.849,1.21,1.24
37.917,1.28,1.25
37.988,1.15,1.27
38.062,1.17,1.23
38.129,1.24,1.26
38.200,1.15,1.28
38.278,1.09,1.28
38.341,1.10,1.26
38.407,1.09,1.23
38.483,1.08,1.27
38.544,1.08,1.26
38.644,0.90,1.27
38.700,1.16,1.26
38.765,1.13,1.28
38.842,1.06,1.26
38.909,1.00,1.29
38.980,1.09,1.28
39.061,1.21,1.25
39.109,1.23,1.27
39.192,1.18,1.25
39.261,1.10,1.28
39.330,1.02,1.31
39.406,1.04,1.30
39.486,1.08,1.28
39.551,1.11,1.30
39.617,1.11,1.26
39.680,1.00,1.29
39.753,1.10,1.32
39.822,1.08,1.24
39.895,1.09,1.22
39.967,1.08,1.27
40.037,1.09,1.26
40.109,1.10,1.26
40.183,1.19,1.28
40.251,0.92,1.28
40.319,1.10,1.27
40.372,1.10,1.27
40.477,1.05,1.30
40.536,1.22,1.23
40.600,1.21,1.24
40.659,1.28,1.22
40.752,1.13,1.22
40.816,1.10,1.26
40.883,1.11,1.23
40.947,1.14,1.21
41.009,1.17,1.23
41.092,1.23,1.17
41.170,1.19,1.21
41.232,1.16,1.20
41.307,1.33,1.17
41.365,1.38,1.17
41.439,1.42,1.18
41.518,1.38,1.17
41.588,1.28,1.15
41.648,1.42,1.14
41.722,1.33,1.18
41.794,1.17,1.17
41.867,1.35,1.18
41.938,1.20,1.16
42.017,1.40,1.17
42.077,1.26,1.23
42.150,1.25,1.25
42.228,1.17,1.22
42.291,1.15,1.24
42.359,1.18,1.26
42.431,1.26,1.27
42.512,1.24,1.26
42.567,1.26,1.26
42.644,1.08,1.28
42.711,1.09,1.29
42.776,1.16,1.28
42.866,1.19,1.32
42.929,1.30,1.29
43.004,1.10,1.27
43.064,1.16,1.26
43.126,1.09,1.26
43.204,1.11,1.25
43.272,1.02,1.28
43.339,0.98,1.29
43.412,1.05,1.25
43.489,1.05,1.29
43.571,0.90,1.27
43.625,0.86,1.23
43.694,0.95,1.27
43.766,1.20,1.27
43.837,1.18,1.25
43.912,1.34,1.28
43.982,1.31,1.28
44.051,0.96,1.24
44.129,0.99,1.25
44.185,0.99,1.24
44.267,1.02,1.23
44.337,1.17,1.18
44.398,0.99,1.25
44.458,0.93,1.24
44.535,1.01,1.23
44.611,0.95,1.25
44.683,1.02,1.24
44.759,1.35,1.23
44.824,3.10,1.18
44.890,2.67,1.17
44.966,2.89,1.17
45.035,3.53,1.16
45.097,3.67,1.21
45.150,3.95,1.16
45.227,4.30,1.19
45.321,5.71,1.16
45.397,6.21,1.04
45.510,4.66,1.13
45.573,4.71,1.10
45.648,6.22,0.96
45.716,5.96,0.95
45.782,3.75,1.22
45.857,-0.27,1.42
45.931,3.65,1.29
