Time (s),Position X (px),Position Y (px)
10.755,-1.89,4.87
10.796,-2.10,4.75
10.839,-2.24,4.97
10.872,-2.10,4.98
10.918,-2.17,4.86
10.961,-2.10,4.92
11.016,-2.05,4.85
11.040,-2.11,4.80
11.101,-2.13,4.86
11.120,-2.10,5.07
11.161,-2.27,4.94
11.216,-2.13,4.99
11.253,-2.07,4.83
11.283,-2.10,4.80
11.321,-1.96,4.83
11.370,-2.11,4.93
11.407,-2.18,4.97
11.445,-2.17,4.90
11.497,-2.21,5.09
11.522,-1.99,5.06
11.578,-1.75,4.97
11.605,-1.68,4.91
11.653,-2.05,4.79
11.688,-2.26,4.79
11.743,-2.32,4.79
11.766,-2.22,4.81
11.811,-2.12,4.87
11.865,-2.00,4.82
11.898,-2.13,4.86
11.937,-1.85,4.89
11.972,-1.98,4.97
12.015,-1.90,5.08
12.057,-2.14,5.00
12.091,-2.20,5.04
12.150,-2.63,4.98
12.179,-2.19,4.99
12.254,-2.13,5.08
12.305,-2.12,5.16
12.344,-2.15,5.19
12.421,-2.03,5.08
12.500,-2.12,5.01
12.550,-2.16,5.21
12.581,-2.28,5.26
12.635,-2.20,5.36
12.664,-2.08,5.34
12.704,-2.20,5.34
12.754,-2.26,5.17
12.784,-2.16,5.10
12.830,-1.98,5.17
12.858,-1.81,5.36
12.904,-2.09,5.32
12.949,-2.25,5.31
12.994,-2.38,5.23
13.037,-2.16,5.24
13.113,-1.88,5.35
13.146,-2.02,5.33
13.194,-2.26,5.39
13.261,-2.18,5.47
13.316,-2.11,5.56
13.354,-2.14,5.55
13.436,-2.04,5.51
13.475,-2.09,5.49
13.521,-1.99,5.52
13.556,-1.88,5.52
13.614,-2.00,5.57
13.633,-1.89,5.43
13.668,-1.97,5.43
13.731,-1.99,5.53
13.752,-2.16,5.55
13.785,-2.15,5.51
13.839,-2.25,5.52
13.872,-2.37,5.29
13.911,-2.17,5.36
13.962,-2.18,5.51
13.995,-2.10,5.66
14.029,-2.11,5.77
14.073,-2.11,5.68
14.113,-2.05,5.78
14.147,-2.04,5.68
14.196,-2.08,5.79
14.235,-2.12,5.75
14.279,-2.13,5.70
14.312,-1.89,5.71
14.364,-1.95,5.73
14.393,-1.78,5.68
14.435,-2.03,5.70
14.481,-1.82,5.60
14.511,-1.75,5.44
14.559,-1.88,5.51
14.602,-1.88,5.54
14.633,-1.93,5.54
14.681,-2.06,5.39
14.724,-2.04,5.56
14.770,-1.90,5.46
14.796,-1.88,5.27
14.846,-1.92,5.22
14.895,-2.12,5.29
14.923,-2.00,5.51
14.965,-1.83,5.64
15.010,-1.79,5.47
15.049,-1.74,5.53
15.093,-1.89,5.50
15.121,-1.69,5.30
15.173,-1.60,5.32
15.206,-1.65,5.27
15.252,-1.88,5.30
15.295,-1.99,5.26
15.327,-2.15,5.31
15.379,-2.17,5.18
15.457,-1.92,5.23
15.486,-1.91,5.23
15.525,-1.75,5.44
15.585,-1.82,5.42
15.615,-1.65,5.40
15.650,-1.86,5.48
15.706,-1.85,5.43
15.736,-1.79,5.64
15.776,-1.59,5.46
15.831,-1.59,5.38
15.855,-1.52,5.32
15.898,-1.86,5.20
15.935,-2.00,5.12
15.998,-1.98,5.43
16.058,-1.89,5.66
16.095,-1.77,5.55
16.134,-1.70,5.57
16.177,-1.79,5.38
16.218,-1.98,5.36
16.269,-1.96,5.56
16.310,-2.03,5.60
16.340,-1.79,5.56
16.385,-1.55,5.51
16.434,-1.59,5.34
16.465,-1.79,5.21
16.511,-2.02,5.23
16.545,-2.09,5.30
16.593,-2.12,5.50
16.627,-2.09,5.49
16.665,-1.92,5.43
16.721,-2.07,5.30
16.740,-2.11,5.20
16.801,-2.00,5.34
16.827,-2.04,5.38
16.889,-2.12,5.52
16.919,-2.27,5.41
16.996,-1.98,5.60
17.034,-1.71,5.47
17.083,-1.87,5.50
17.111,-2.09,5.55
17.152,-2.32,5.43
17.194,-2.35,5.53
17.229,-2.23,5.46
17.283,-2.16,5.30
17.315,-2.17,5.27
17.348,-2.26,5.30
17.389,-2.11,5.41
17.436,-2.07,5.58
17.469,-2.15,5.62
17.508,-2.30,5.48
17.558,-2.04,5.62
17.590,-1.93,5.57
17.641,-2.07,5.47
17.681,-2.18,5.57
17.734,-2.41,5.59
17.794,-2.20,5.48
17.835,-2.28,5.56
17.882,-2.19,5.47
17.933,-2.08,5.51
17.973,-2.07,5.54
18.047,-2.45,5.53
18.083,-2.57,5.52
18.137,-2.47,5.54
18.169,-2.56,5.60
18.220,-2.25,5.64
18.288,-2.28,5.38
18.378,-2.40,5.57
18.447,-2.56,5.60
18.489,-2.26,5.51
18.567,-2.25,5.27
18.613,-2.35,5.32
18.651,-2.45,5.37
18.704,-2.21,5.49
18.729,-2.26,5.55
18.771,-2.23,5.49
18.822,-2.17,5.46
18.860,-2.32,5.44
18.935,-2.22,5.73
18.963,-2.27,5.88
19.017,-2.27,5.66
19.050,-2.24,5.74
19.096,-2.23,5.80
19.128,-2.07,5.88
19.187,-1.72,5.86
19.211,-2.07,5.69
19.261,-2.16,5.63
19.295,-2.28,5.63
19.348,-2.18,5.70
19.382,-2.26,5.66
19.422,-2.33,5.63
19.471,-2.12,5.69
19.510,-2.25,5.55
19.536,-2.24,5.57
19.576,-2.35,5.50
19.627,-2.41,5.30
19.660,-2.29,5.30
19.714,-2.15,5.43
19.747,-2.19,5.59
19.791,-1.99,5.85
19.873,-2.22,6.26
19.918,-2.38,6.64
19.951,-2.18,6.51
19.990,-1.65,6.40
20.049,-1.55,6.31
20.107,-1.92,6.37
20.147,-2.05,6.30
20.190,-2.15,6.16
20.232,-2.15,5.87
20.319,-2.08,5.87
20.355,-1.98,5.85
20.394,-1.90,6.12
20.430,-2.10,6.04
20.467,-2.17,6.13
20.528,-2.08,6.11
20.554,-1.93,6.28
20.592,-1.83,6.33
20.636,-1.83,6.24
20.674,-1.75,6.07
20.712,-1.74,6.01
20.750,-1.98,5.89
20.790,-2.02,5.86
20.836,-2.05,5.96
20.871,-1.95,5.71
20.920,-2.04,5.58
20.958,-2.20,5.68
21.036,-1.78,5.99
21.072,-2.12,5.98
21.118,-2.12,5.97
21.157,-2.06,6.01
21.209,-2.07,5.89
21.240,-1.87,5.97
21.283,-1.74,5.90
21.314,-1.81,5.66
21.360,-1.91,5.82
21.395,-2.09,5.92
21.443,-2.01,6.17
21.483,-2.05,6.11
21.569,-1.68,5.84
21.604,-1.78,5.75
21.637,-1.83,5.88
21.682,-2.11,6.07
21.721,-1.99,5.82
21.758,-2.24,5.86
21.802,-2.13,5.87
21.851,-2.15,5.76
21.924,-1.93,5.65
21.961,-1.88,5.81
22.002,-1.99,5.89
22.053,-2.14,6.01
22.088,-2.17,6.05
22.134,-2.22,6.13
22.165,-2.07,6.05
22.212,-2.33,5.98
22.252,-2.39,5.82
22.307,-2.33,5.68
22.329,-2.47,5.61
22.376,-2.32,5.67
22.411,-2.58,5.80
22.452,-2.50,5.69
22.491,-2.49,5.50
22.530,-2.14,5.30
22.566,-2.15,5.42
22.620,-2.41,5.86
22.652,-2.57,5.93
22.701,-2.32,6.09
22.743,-2.34,5.74
22.776,-2.28,5.66
22.812,-2.22,5.16
22.860,-2.19,5.17
22.890,-2.19,5.41
22.955,-2.27,5.57
22.977,-2.28,5.67
23.034,-2.22,5.68
23.061,-2.40,5.66
23.097,-2.10,5.68
23.135,-1.88,5.66
23.180,-1.84,5.55
23.220,-2.09,5.60
23.262,-2.22,5.79
23.301,-2.33,5.75
23.338,-2.21,5.77
23.376,-2.07,5.79
23.431,-1.96,5.58
23.458,-2.07,5.59
23.514,-2.29,5.66
23.541,-2.22,5.72
23.602,-2.15,5.85
23.664,-2.28,5.79
23.700,-2.29,5.69
23.751,-2.18,5.69
23.782,-2.31,5.55
23.831,-2.19,5.64
23.864,-2.17,5.67
23.910,-2.38,5.71
23.938,-2.23,5.92
23.993,-2.04,5.84
24.033,-1.74,5.82
24.073,-1.75,5.91
24.114,-2.16,6.03
24.164,-2.16,6.25
24.196,-2.19,6.52
24.229,-1.91,6.16
24.276,-1.92,5.98
24.310,-1.89,5.85
24.355,-1.84,5.72
24.395,-1.90,5.90
24.435,-1.86,5.88
24.478,-2.02,5.89
24.515,-2.07,5.78
24.565,-2.06,5.98
24.631,-1.82,6.44
24.679,-2.07,6.37
24.712,-2.15,6.34
24.757,-2.08,6.82
24.805,-2.17,6.51
24.839,-1.99,6.64
24.884,-1.90,6.29
24.921,-2.09,6.21
24.965,-2.21,6.31
25.038,-2.21,6.82
25.091,-2.07,6.92
25.120,-1.79,6.95
25.158,-1.83,7.01
25.200,-1.79,6.95
25.243,-1.80,6.98
25.287,-2.10,6.94
25.321,-2.05,6.96
25.370,-1.93,6.95
25.403,-1.96,6.92
25.442,-2.01,7.00
25.487,-1.98,6.76
25.542,-1.82,6.48
25.573,-1.85,6.57
25.646,-1.74,6.63
25.683,-1.96,6.67
25.731,-2.07,6.55
25.772,-2.02,6.42
25.846,-1.95,6.50
25.893,-2.02,6.46
25.931,-2.05,6.38
25.976,-2.04,6.39
26.049,-2.15,6.33
26.095,-2.03,6.36
26.138,-2.21,6.17
26.173,-2.26,6.11
26.213,-2.29,6.18
26.248,-2.30,6.36
26.299,-2.08,6.58
26.376,-1.90,6.36
26.413,-1.77,6.26
26.463,-1.94,6.23
26.534,-2.29,6.59
26.578,-1.99,6.49
26.624,-1.94,6.50
26.671,-1.99,6.35
26.719,-1.84,6.28
26.743,-2.05,6.16
26.790,-1.92,6.10
26.821,-2.03,6.35
26.877,-2.01,6.21
26.908,-1.93,6.19
26.987,-1.81,6.44
27.026,-1.81,6.46
27.066,-1.72,6.52
27.121,-1.67,6.40
27.185,-1.81,6.53
27.232,-1.70,6.54
27.260,-1.81,6.85
27.319,-1.76,6.93
27.343,-1.70,6.65
27.387,-1.57,6.68
27.437,-1.50,7.03
27.471,-1.37,7.23
27.556,-1.56,6.69
27.589,-1.69,6.45
27.649,-1.71,6.34
27.672,-1.80,6.43
27.710,-1.83,6.85
27.755,-1.65,7.13
27.809,-1.55,6.71
27.836,-1.49,6.57
27.869,-1.58,6.37
27.927,-1.83,6.44
27.949,-1.86,6.43
27.994,-1.81,6.69
28.036,-1.63,6.80
28.071,-1.66,6.74
28.110,-1.62,6.44
28.150,-1.62,6.57
28.186,-1.74,6.52
28.229,-1.84,6.51
28.267,-1.88,6.53
28.308,-2.06,6.58
28.352,-1.95,6.55
28.396,-1.91,6.50
28.434,-1.60,6.66
28.479,-1.58,6.46
28.518,-1.66,6.19
28.565,-1.64,6.33
28.607,-1.69,6.58
28.638,-1.82,6.57
28.679,-1.84,6.57
28.718,-1.75,6.46
28.761,-1.64,6.41
28.799,-1.89,6.39
28.843,-1.83,6.58
28.873,-1.90,6.62
28.917,-1.98,6.60
28.962,-2.21,6.62
28.999,-2.03,6.57
29.039,-2.18,6.45
29.075,-2.06,6.23
29.124,-2.03,6.34
29.162,-1.77,6.17
29.205,-1.79,6.08
29.243,-1.83,6.36
29.302,-1.86,6.25
29.329,-2.00,6.15
29.371,-2.09,6.16
29.414,-2.07,6.34
29.453,-1.78,6.20
29.494,-1.88,6.16
29.525,-2.07,6.11
29.580,-1.85,6.42
29.614,-1.83,6.36
29.650,-1.83,6.37
29.686,-1.94,6.46
29.727,-2.12,6.38
29.777,-2.12,6.30
29.811,-1.97,6.46
29.845,-1.80,6.34
29.888,-1.78,6.26
29.935,-1.78,6.09
30.014,-2.08,6.18
30.053,-1.91,6.38
30.090,-2.01,6.15
30.135,-1.93,6.03
30.165,-2.00,5.94
30.219,-1.99,5.92
30.248,-2.06,6.22
30.294,-2.10,6.25
30.344,-2.26,6.34
30.380,-2.02,6.53
30.454,-1.65,6.52
30.505,-1.86,6.40
30.580,-1.65,6.51
30.616,-1.69,6.61
30.656,-1.88,6.55
30.712,-1.91,6.68
30.739,-2.03,6.76
30.785,-2.03,6.83
30.837,-1.76,6.67
30.867,-1.68,6.59
30.916,-1.81,6.61
30.940,-1.69,6.67
30.989,-1.74,6.79
31.021,-1.76,7.13
31.056,-1.80,7.12
31.101,-1.80,7.11
31.145,-1.95,7.06
31.184,-2.04,6.97
31.230,-2.18,6.94
31.266,-1.95,7.02
31.308,-1.89,7.09
31.346,-1.65,7.11
31.385,-1.65,7.01
31.423,-1.72,7.07
31.478,-1.79,7.06
31.516,-1.97,7.17
31.557,-2.11,7.23
31.591,-2.11,7.35
31.646,-2.07,7.44
31.671,-1.92,7.45
31.731,-1.99,7.35
31.765,-1.99,7.45
31.807,-1.87,7.41
31.845,-1.97,7.30
31.877,-1.89,7.32
31.925,-2.07,7.52
31.954,-2.09,7.28
31.995,-2.09,7.13
32.034,-2.05,7.26
32.068,-2.02,7.34
32.112,-1.82,7.52
32.150,-1.81,7.45
32.199,-1.97,7.51
32.233,-2.10,7.46
32.282,-2.14,7.47
32.317,-2.07,7.57
32.358,-2.21,7.36
32.393,-2.06,7.23
32.432,-2.07,7.24
32.486,-1.99,7.12
32.523,-2.02,7.22
32.556,-1.91,7.29
32.599,-1.94,7.25
32.639,-1.91,7.35
32.678,-1.86,7.33
32.720,-1.96,7.40
32.764,-1.84,7.26
32.798,-1.68,7.26
32.838,-1.74,6.95
32.880,-1.90,6.90
32.921,-1.84,7.12
32.959,-2.07,7.19
33.002,-2.13,7.16
33.044,-1.87,7.22
33.091,-1.99,7.21
33.125,-2.11,6.94
33.169,-2.16,6.92
33.211,-2.23,6.91
33.255,-2.30,6.50
33.299,-2.36,6.49
33.335,-2.34,6.41
33.382,-2.34,6.37
33.417,-2.34,6.31
33.468,-2.25,6.36
33.495,-2.22,6.21
33.534,-2.31,6.43
33.571,-2.38,6.83
33.622,-2.41,6.89
33.654,-2.41,6.75
33.715,-2.55,6.25
33.747,-2.49,6.20
33.812,-2.58,6.14
33.856,-2.82,6.00
33.894,-2.76,6.17
33.936,-2.29,6.36
33.980,-2.11,6.53
34.019,-2.00,6.44
34.057,-2.17,5.88
34.097,-1.95,5.84
34.139,-1.96,5.91
34.183,-2.14,6.21
34.259,-2.42,6.64
34.298,-2.34,6.49
34.342,-2.11,6.52
34.377,-2.22,6.26
34.419,-2.24,6.31
34.460,-1.95,6.41
34.500,-2.28,6.45
34.548,-2.48,6.43
34.621,-2.21,6.90
34.670,-2.22,6.81
34.707,-2.31,6.92
34.740,-1.96,6.78
34.785,-2.04,6.77
34.825,-1.99,6.74
34.864,-1.89,6.73
34.905,-2.24,6.64
34.948,-2.22,6.75
34.996,-2.10,6.84
35.027,-2.05,6.89
35.084,-1.81,6.82
35.114,-1.92,6.91
35.165,-1.99,7.11
35.192,-1.99,7.32
35.250,-1.83,7.31
35.282,-1.90,7.25
35.322,-1.72,7.19
35.352,-1.75,7.29
35.410,-2.01,7.26
35.443,-2.01,7.37
35.498,-2.08,7.20
35.567,-2.04,7.49
35.636,-2.11,7.23
35.671,-2.03,7.25
35.715,-1.80,7.23
35.755,-1.81,7.47
35.792,-1.83,7.57
35.834,-1.85,7.51
35.884,-1.87,7.53
35.915,-1.91,7.35
35.964,-1.78,7.31
35.996,-1.90,7.33
36.033,-1.75,7.22
36.074,-1.78,7.46
36.120,-1.64,7.48
36.156,-1.58,7.50
36.201,-2.00,7.25
36.241,-1.89,7.10
36.279,-1.79,7.25
36.324,-1.72,7.23
36.371,-1.48,7.27
36.401,-1.57,7.06
36.440,-1.71,7.07
36.495,-1.90,7.21
36.559,-1.72,7.33
36.610,-1.72,7.22
36.640,-1.85,7.24
36.685,-1.74,7.17
36.721,-1.83,7.05
36.763,-1.90,7.17
36.803,-1.80,7.35
36.862,-1.85,7.39
36.887,-1.86,7.42
36.942,-1.87,7.31
36.982,-1.90,7.32
37.023,-2.14,7.08
37.056,-2.08,7.11
37.104,-2.00,7.26
37.137,-1.91,7.25
37.188,-2.14,6.98
37.238,-2.13,7.10
37.260,-2.11,7.26
37.336,-2.12,7.12
37.385,-1.98,7.10
37.415,-1.83,7.15
37.456,-1.88,7.24
37.501,-2.07,7.26
37.536,-2.08,7.28
37.589,-2.22,7.24
37.619,-2.25,7.17
37.665,-2.19,7.23
37.713,-2.14,7.19
37.736,-2.00,7.16
37.786,-2.00,6.85
37.824,-2.25,7.00
37.865,-2.35,7.03
37.900,-2.55,7.15
37.939,-2.25,7.17
37.999,-2.16,7.09
38.019,-2.09,6.93
38.063,-2.13,6.95
38.115,-2.11,6.96
38.149,-2.37,7.08
38.184,-2.31,7.15
38.235,-2.41,7.14
38.271,-2.39,7.05
38.304,-2.36,6.93
38.346,-2.32,6.81
38.397,-2.31,7.16
38.431,-1.85,7.15
38.477,-1.88,7.19
38.514,-1.89,7.01
38.573,-2.09,6.84
38.632,-2.40,6.99
38.678,-2.35,7.26
38.715,-2.31,7.24
38.756,-2.08,7.23
38.799,-1.75,7.28
38.840,-1.71,7.16
38.876,-1.96,6.92
38.919,-2.08,7.16
38.969,-2.04,7.14
38.994,-1.98,7.32
39.039,-1.98,7.38
39.081,-2.07,7.35
39.114,-2.04,7.17
39.158,-2.04,7.31
39.190,-2.03,7.13
39.228,-1.91,7.32
39.271,-1.85,7.22
39.310,-1.76,7.21
39.359,-2.00,7.17
39.406,-1.97,7.08
39.446,-2.04,7.20
39.492,-1.99,7.40
39.528,-2.08,7.29
39.565,-2.10,7.31
39.596,-1.97,7.19
39.646,-1.86,7.23
39.678,-1.93,7.35
39.714,-1.98,7.53
39.758,-1.99,7.40
39.805,-1.93,7.35
39.847,-1.80,7.44
39.889,-1.81,7.31
39.921,-1.85,7.35
39.964,-2.17,7.45
40.009,-1.97,7.52
40.057,-1.88,7.67
40.128,-1.75,7.61
40.171,-1.48,7.47
40.211,-1.60,7.40
40.266,-1.60,7.40
40.286,-1.59,7.47
40.330,-1.77,7.57
40.395,-1.88,7.66
40.412,-1.82,7.70
40.445,-1.67,7.64
40.488,-1.73,7.57
40.537,-1.62,7.40
40.571,-1.53,7.57
40.609,-1.54,7.75
40.651,-1.75,7.67
40.699,-1.68,7.73
40.774,-1.81,7.64
40.811,-1.75,7.54
40.859,-1.73,7.69
40.895,-1.92,7.73
40.935,-1.90,7.66
40.970,-1.76,7.61
41.018,-1.59,7.59
41.053,-1.75,7.68
41.098,-1.95,7.56
41.135,-2.02,7.49
41.177,-1.91,7.77
41.226,-1.85,7.93
41.259,-1.79,7.89
41.298,-1.77,7.92
41.343,-1.66,7.68
41.380,-1.69,7.75
41.423,-1.81,7.64
41.460,-1.98,7.80
41.513,-2.06,7.82
41.544,-1.90,7.73
41.598,-1.89,7.76
41.626,-1.78,7.67
41.665,-1.82,7.61
41.709,-1.80,7.76
41.743,-1.86,7.92
41.786,-1.64,7.74
41.827,-1.72,7.73
41.866,-1.79,7.72
41.906,-1.96,7.76
41.950,-2.00,7.74
41.986,-1.70,8.20
42.048,-1.88,8.22
42.073,-1.67,8.17
42.128,-1.54,8.11
42.169,-1.62,8.00
42.196,-1.60,7.79
42.235,-1.67,7.63
42.294,-1.63,8.00
42.315,-1.80,8.00
42.354,-1.76,8.05
42.401,-1.84,7.99
42.449,-1.74,8.11
42.476,-1.75,7.79
42.530,-1.32,7.68
42.601,-1.55,7.86
42.641,-1.70,8.00
42.679,-1.81,8.17
42.716,-1.77,8.08
42.766,-1.96,8.14
42.813,-1.73,8.04
42.895,-1.63,7.99
42.931,-1.78,7.93
42.979,-1.66,8.10
43.014,-1.89,7.89
43.056,-1.84,7.83
43.097,-1.84,7.87
43.142,-1.96,7.92
43.211,-1.73,7.95
43.253,-1.72,7.84
43.291,-1.70,7.79
43.336,-1.73,7.85
43.382,-1.84,7.89
43.408,-1.97,7.93
43.461,-1.93,7.74
43.505,-1.64,7.62
43.537,-1.68,7.70
43.577,-1.73,7.63
43.669,-1.85,7.67
43.730,-1.69,7.61
43.772,-1.88,7.65
43.827,-1.99,7.21
43.857,-1.65,7.41
43.913,-1.55,7.31
43.975,-1.95,7.54
44.023,-2.06,7.53
44.101,-1.72,7.65
44.143,-1.57,7.64
44.199,-1.60,7.45
44.218,-1.43,7.45
44.271,-1.72,7.33
44.338,-2.05,7.25
44.391,-2.08,7.36
44.431,-1.90,7.41
44.516,-1.64,7.50
44.546,-1.66,7.64
44.584,-1.67,7.60
44.635,-1.47,7.74
44.662,-1.43,7.51
44.719,-1.63,7.43
44.745,-1.79,7.43
44.784,-1.69,7.45
44.839,-1.79,7.50
44.867,-1.85,7.57
44.912,-1.72,7.74
44.958,-1.69,7.71
44.989,-1.72,7.80
45.028,-1.70,7.67
45.070,-1.62,7.79
45.106,-1.81,7.98
45.146,-1.65,8.13
45.196,-1.63,8.11
45.230,-1.65,8.24
45.276,-1.73,7.99
45.315,-1.53,8.07
45.342,-1.66,7.96
45.377,-1.86,7.91
