Time (s),Position X (px),Position Y (px)
0.057,0.00,0.00
0.101,0.77,1.40
0.142,1.20,1.48
0.173,0.71,1.54
0.262,-0.17,4.11
0.299,-12.46,-178.08
0.343,-12.68,-177.92
0.413,-11.11,-177.50
0.451,-10.26,-178.25
0.493,-2.92,3.05
0.538,-3.16,2.70
0.605,-3.42,2.80
0.659,-3.31,2.67
0.683,-3.33,2.69
0.728,-3.61,2.82
0.773,-3.50,2.94
0.804,-3.25,3.28
0.841,-8.78,-178.77
0.879,-2.08,3.15
0.947,-1.48,2.25
0.974,0.14,1.86
1.054,0.37,2.73
1.090,-1.59,3.18
1.143,-2.16,3.53
1.175,-1.62,3.50
1.213,-0.50,3.25
1.302,-1.09,3.77
1.329,-2.46,4.63
1.387,-2.40,5.08
1.425,-0.99,5.54
1.504,-1.33,6.50
1.536,-2.72,6.62
1.576,-3.02,6.39
1.614,-2.57,5.93
1.665,-0.98,5.17
1.708,-1.06,4.76
1.739,-2.26,4.64
1.785,-3.06,4.42
1.821,-2.81,4.27
1.887,-1.53,4.17
1.910,-1.38,4.07
1.957,-1.98,4.38
2.022,-2.99,5.05
2.055,-2.14,5.07
2.105,-0.93,5.01
2.158,-1.24,4.87
2.205,-2.31,5.18
2.259,-2.43,5.32
2.303,-1.12,5.03
2.332,-1.10,4.35
2.387,-1.90,4.02
2.478,-2.68,4.53
2.509,-2.03,4.52
2.541,-1.23,4.52
2.595,-1.53,4.40
2.631,-2.08,4.61
2.665,-2.60,4.60
2.719,-1.85,4.68
2.750,-1.32,4.77
2.792,-1.48,4.69
2.826,-2.05,4.67
2.861,-2.39,4.68
2.909,-1.96,4.54
2.956,-1.48,4.26
2.990,-1.45,3.87
3.042,-1.87,3.82
3.084,-2.57,4.21
3.133,-2.45,4.26
3.152,-1.77,4.35
3.195,-1.27,4.33
3.251,-1.67,4.18
3.269,-2.26,4.09
3.321,-2.32,4.42
3.355,-1.89,4.57
3.401,-1.30,4.49
3.446,-1.17,4.46
3.473,-1.70,4.27
3.514,-2.40,4.01
3.564,-2.39,4.01
3.596,-2.16,4.01
3.633,-1.97,3.98
3.679,-2.27,3.78
3.714,-2.87,3.58
3.759,-2.69,4.13
3.800,-2.16,4.28
3.846,-1.71,4.49
3.877,-1.85,4.31
3.917,-2.08,4.15
3.959,-2.01,3.96
3.998,-1.55,4.03
4.056,-1.42,4.11
4.117,-2.32,3.72
4.164,-2.79,3.90
4.201,-2.35,4.17
4.249,-1.78,4.30
4.279,-1.80,4.23
4.327,-1.79,4.06
4.369,-2.01,4.16
4.404,-2.16,4.22
4.443,-1.90,4.42
4.484,-1.69,4.45
4.530,-1.47,4.37
4.562,-1.63,4.19
4.613,-1.76,4.16
4.645,-1.71,4.14
4.689,-1.62,4.22
4.736,-1.84,4.34
4.760,-1.99,4.35
4.817,-2.00,4.44
4.856,-1.77,4.57
4.887,-1.67,4.63
4.937,-1.44,4.73
4.973,-1.64,4.55
5.016,-1.90,4.56
5.047,-1.90,4.59
5.100,-1.72,4.68
5.129,-1.58,4.84
5.179,-1.78,4.63
5.215,-1.97,4.45
5.251,-2.02,4.54
5.306,-1.89,4.74
5.344,-1.93,4.95
5.409,-2.00,4.90
5.453,-1.87,4.73
5.496,-1.74,4.71
5.535,-1.62,4.82
5.578,-1.67,4.88
5.634,-2.03,4.85
5.661,-2.15,4.62
5.704,-1.96,4.54
5.789,-1.60,4.46
5.869,-1.98,4.50
5.908,-2.00,4.52
5.939,-1.65,4.59
5.998,-1.44,4.78
6.020,-1.64,4.69
6.072,-1.98,4.41
6.147,-1.78,4.45
6.182,-1.69,4.51
6.224,-1.89,4.58
6.268,-2.14,4.59
6.312,-1.94,4.46
6.357,-1.70,4.31
6.388,-1.53,4.38
6.426,-1.52,4.47
6.477,-1.91,4.49
6.498,-2.36,4.34
6.555,-2.31,4.29
6.595,-1.91,4.22
6.632,-1.85,4.19
6.686,-1.91,4.38
6.717,-2.03,4.39
6.813,-1.83,4.44
6.838,-1.55,4.42
6.878,-1.39,4.50
6.931,-1.86,4.44
6.955,-2.08,4.50
7.016,-2.29,4.46
7.046,-2.16,4.53
7.135,-2.30,4.57
7.161,-2.30,4.33
7.261,-1.64,4.32
7.291,-1.72,4.50
7.355,-2.47,4.67
7.404,-2.61,4.51
7.489,-1.65,4.42
7.527,-1.69,4.50
7.572,-1.95,4.59
7.609,-2.10,4.49
7.646,-1.91,4.31
7.690,-1.43,4.36
7.717,-1.54,4.43
7.783,-1.86,4.45
7.802,-2.16,4.45
7.853,-2.11,4.47
7.886,-1.86,4.35
7.947,-1.92,4.27
8.006,-1.54,4.34
8.048,-1.60,4.32
8.083,-1.56,4.35
8.135,-1.52,4.35
8.208,-1.85,4.46
8.263,-1.96,4.43
8.287,-1.78,4.50
8.340,-1.58,4.46
8.377,-1.64,4.48
8.410,-1.72,4.51
8.465,-1.98,4.63
8.503,-1.80,4.75
8.538,-1.58,4.74
8.579,-1.43,4.66
8.612,-1.43,4.73
8.667,-1.80,4.76
8.696,-1.90,4.72
8.739,-1.84,4.76
8.776,-1.89,4.75
8.821,-2.06,4.77
8.870,-2.31,5.02
8.892,-2.30,4.96
8.955,-2.01,4.97
9.036,-1.68,5.09
9.103,-2.01,5.30
9.146,-1.94,5.29
9.192,-1.89,5.21
9.259,-1.83,5.13
9.305,-1.94,4.99
9.339,-1.95,4.90
9.385,-1.84,5.00
9.422,-1.83,5.15
9.462,-1.84,5.15
9.513,-1.86,5.10
9.541,-1.86,5.08
9.602,-1.76,5.03
9.633,-1.64,5.07
9.678,-1.65,4.94
9.763,-1.96,5.04
9.789,-1.93,4.99
9.838,-1.73,5.07
9.869,-1.57,4.90
9.906,-1.91,4.85
9.949,-2.12,4.92
9.984,-2.26,4.93
10.037,-2.23,4.89
10.064,-1.91,4.99
10.122,-1.94,4.91
10.151,-2.02,4.86
10.197,-2.10,4.84
10.233,-1.99,4.87
10.276,-1.96,4.90
10.306,-1.81,4.79
10.357,-1.96,4.79
10.387,-2.04,4.87
10.429,-1.78,4.80
10.468,-1.72,4.86
10.523,-1.96,4.81
10.555,-2.21,4.75
10.597,-2.21,4.75
10.640,-2.39,4.92
10.683,-2.20,4.82
10.711,-1.98,4.92
